"","LocationVA","X14.00","X15.00","X16.00","X16.1.iso.17.0","cis.9.16.1","X17.00","X17.1.16.2","X18.00","cis.9.18.1","cis.11.18.1","X18.2n.6","X20.00","X18.3n.3","X20.01","X18.4n.3","X20.3n.6","X22.00","X20.4n.6","X20.4n.3","X20.5n.3","X24.01.00","X22.5n.6","X22.5n.3","X22.6n.3"
"1","Middle Veurne-Ambacht",0.527336654916997,0.0831844193286677,1.73769278067212,0.363101822266611,1.02601138488068,0.274582574968242,0.125193012888861,0.930622551485474,2.58549136345032,1.17921766034782,0.173841731523382,0.0611327595133271,0.142118578926861,0.292807672941358,0.0548639876682068,0.0413250759801105,0.0455404059207708,0.949361432001231,0.592308671137577,1.99568035063353,0.546840117663028,0.104205314735131,0.926108604656629,2.19511420138973
"2","Pumping Station",0.85805211221273,0.0940538584154222,1.91801601040284,0.264630235642418,0.839077811491505,0.202390257081748,0.0872820633684756,1.2239377100906,2.59184183720591,2.18483910671295,0.0887354085316156,0.0646372394775081,0.176492801810468,0.34307208065544,0.086748283247939,0.0330128074320476,0.0483767829781304,1.17244739926378,0.669481325695157,1.72135453916239,0.723790092485244,0.134131418294661,0.600183858193774,2.50480913404191
"3","Sluice Complex",0.368350099542994,0.0855589465417459,0.98818527277699,0.243354336993063,1.20344553782047,0.224655439877753,0.122079601763221,0.590637946066229,2.69066396932678,1.07312698650564,0.146762378807831,0.0474211187130797,0.128516924955431,0.323676587558219,0.0446585191574165,0.0552937609500385,0.0624808970806278,0.715670396667814,0.51398008635225,1.68559487891763,0.477539928522562,0.101019944400433,0.78242136985131,2.33306824803733
