Tube N°;Date;Location;length (mm);weight(mg);pigmentation stage;condition factor;Food visible;remarks;;;;;;;;;;;;
67;31/03/2017;VA_PG_RO_PA;68;264;VIA4;0,84;;;;;;;;;;;;;;
68;31/03/2017;VA_PG_LO_PA;74;336;VIA2;0,83;;;;;;;;;;;;;;
69;31/03/2017;VA_PG_LO_PA;73;326;VIA4;0,84;;;;;;;;;;;;;;
70;31/03/2017;VA_PG_LO_PA;70;321;VIA2;0,94;;;;;;;;;;;;;;
71;31/03/2017;VA_PG_LO_PA;72;335;VIA3;0,90;;;;;;;;;;;;;;
72;31/03/2017;VA_PG_LO_PA;73;405;VIA4;1,04;F;;;;;;;;;;;;;
73;31/03/2017;VA_PG_RO_SU;74;366;VIA3;0,90;F;;;;;;;;;;;;;
74;31/03/2017;VA_PG_RO_SU;68;339;VB;1,08;;;;;;;;;;;;;;
75;31/03/2017;VA_PG_RO_SU;71;311;VIA2;0,87;F;swimbladder infection?;;;;;;;;;;;;
76;31/03/2017;VA_PG_RO_SU;69;267;VB;0,81;;;;;;;;;;;;;;
77;31/03/2017;VA_PG_RO_SU;67;221;VIA3;0,73;F;;;;;;;;;;;;;
78;31/03/2017;VA_PG_LO_SU;69;347;VIA3;1,06;;rashes body, haemorrhage tail;;;;;;;;;;;;
79;31/03/2017;VA_PG_LO_SU;71;298;VIA2;0,83;;turbid;;;;;;;;;;;;
80;31/03/2017;VA_PG_LO_SU;69;294;VIA3;0,89;;;;;;;;;;;;;;
81;31/03/2017;VA_PG_LO_SU;64;215;VIA2;0,82;F;;;;;;;;;;;;;
82;31/03/2017;VA_PG_LO_SU;74;384;VIA3;0,95;F;;;;;;;;;;;;;
83;1/04/2017;VA_PG_KR_NA;64;211;VIA2;0,80;;;;;;;;;;;;;;
84;1/04/2017;VA_PG_KR_NA;71;332;VIA4;0,93;F;;;;;;;;;;;;;
85;1/04/2017;VA_PG_KR_NA;70;263;VIA2;0,77;F;;;;;;;;;;;;;
86;1/04/2017;VA_PG_KR_NA;72;309;VIA1;0,83;;;;;;;;;;;;;;
87;1/04/2017;VA_PG_KR_NA;75;339;VIA3;0,80;F;;;;;;;;;;;;;
88;7/04/2017;VA_PG_RO_PA;73;298;VIA3;0,77;;;;;;;;;;;;;;
89;7/04/2017;VA_PG_RO_PA;70;203;VIA4;0,59;;;;;;;;;;;;;;
90;7/04/2017;VA_PG_RO_PA;69;322;VIA3;0,98;;;;;;;;;;;;;;
91;7/04/2017;VA_PG_RO_PA;70;343;VIA3;1,00;F;;;;;;;;;;;;;
92;7/04/2017;VA_PG_RO_PA;67;258;VIA4;0,86;F;;;;;;;;;;;;;
93;7/04/2017;VA_PG_LO_PA;72;379;VIA4;1,02;;;;;;;;;;;;;;
94;7/04/2017;VA_PG_LO_PA;69;275;VIA2;0,84;;;;;;;;;;;;;;
95;7/04/2017;VA_PG_LO_PA;70;288;VIA3;0,84;;;;;;;;;;;;;;
