"","nr","X14.00","X15.00","X16.00","X16.1.iso.17.0","cis.9.16.1","X17.00","X17.1.16.2","X18.00","cis.9.18.1","cis.11.18.1","X18.2n.6","X20.00","X18.3n.3","X20.01","X18.4n.3","X20.3n.6","X22.00","X20.4n.6","X20.4n.3","X20.5n.3","X24.01.00","X22.5n.6","X22.5n.3","X22.6n.3"
"1",118,3.068,0.496,23.514,0.725,4.441,0.633,0.448,6.487,17.507,4.578,0.928,0.237,0.667,1.684,0.273,0.188,0.055,2.562,2.872,6.912,1.92,0.342,2.981,15.997
"2",123,2.447,0.445,23.94,0.605,3.754,0.562,0.502,7.043,16.891,4.113,0.884,0.226,0.467,1.303,0.177,0.112,0.078,2.943,2.118,6.418,2.335,0.582,3.356,18.313
"3",146,3.349,0.753,24.921,0.77,4.715,0.656,0.572,7.094,16.775,4.149,0.865,0.208,0.418,1.349,0.214,0.213,0.118,2.46,2.104,6.346,1.941,0.438,3.287,15.798
"4",114,3.715,0.55,23.858,0.687,4.523,0.495,0.506,5.335,18.832,4.508,0.892,0.17,0.623,1.647,0.287,0.14,0.089,1.825,2.685,6.037,1.478,0.534,3.623,16.432
"5",161,2.952,0.559,24.034,0.607,4.083,0.614,0.399,6.546,17.207,3.987,0.952,0.244,0.57,1.31,0.276,0.19,0.064,3.108,2.49,7.091,1.946,0.532,2.933,16.861
"6",164,2.802,0.476,23.652,0.644,4.086,0.562,0.347,6.378,17.104,4.287,0.864,0.216,0.678,1.426,0.287,0.157,0.087,2.729,2.898,6.467,2.27,0.28,3.154,17.461
"7",172,1.963,0.478,24.718,0.528,3.217,0.619,0.309,7.111,15.391,3.677,0.777,0.249,0.331,1.309,0.09,0.156,0.096,3.085,1.607,6.815,2.091,0.582,3.731,20.989
"8",174,3.031,0.556,26.428,0.618,4.408,0.61,0.433,6.106,16.675,3.908,0.897,0.271,0.555,1.41,0.16,0.112,0.094,2.669,1.702,6.703,1.972,0.576,3.809,15.877
"9",185,2.006,0.442,22.975,0.666,3.526,0.617,0.321,7.527,17.177,4.291,0.853,0.229,0.51,1.248,0.151,0.13,0.046,3.376,1.67,6.595,2.531,0.379,3.75,18.405
"10",157,1.08,0.343,23.174,0.463,2.482,0.446,0.224,7.773,12.688,2.772,0.717,0.282,0.359,0.748,0.102,0.152,0.152,4.182,1.913,8.134,3.053,0.527,3.664,23.645
"11",191,1.166,0.394,21.627,0.42,2.692,0.768,0.356,8.778,13.644,3.199,0.865,0.397,0.267,0.895,0.084,0.084,0.091,5.787,1.43,7.187,3.514,0.698,2.861,22.522
"12",205,2.854,0.515,24.929,0.606,4.157,0.651,0.426,6.74,17.727,4.1,0.794,0.19,0.615,1.297,0.211,0.1,0.091,2.63,1.826,6.153,1.925,0.64,3.219,17.308
"13",214,1.2,0.442,21.864,0.644,2.631,0.671,0.408,8.189,13.283,3.408,0.726,0.371,0.394,0.701,0.143,0.198,0.146,4.108,1.758,8.667,3.694,0.43,3.278,22.279
"14",225,1.058,0.451,20.255,0.821,2.528,0.757,0.371,8.73,11.764,4.37,0.846,0.303,0.219,0.547,0.096,0.277,0.175,4.514,1.599,10.633,3.338,0.591,3.464,21.54
"15",227,2.525,0.416,22.94,0.561,6.029,0.495,0.566,7.398,13.777,4.278,1.156,0.267,0.596,1.009,0.213,0.193,0.059,2.3,1.644,8.629,2.259,0.455,4.252,17.602
"16",231,1.379,0.414,22.481,0.595,2.704,0.628,0.399,7.85,15.186,3.679,0.668,0.354,0.326,1.37,0.12,0.097,0.162,4.121,1.357,7.418,3.225,0.587,3.166,21.179
"17",235,2.003,0.467,18.859,0.634,7.132,0.644,0.676,7.682,10.123,4.68,1.621,0.44,0.703,0.529,0.269,0.347,0.149,4.694,1.534,12.73,2.774,0.446,4.08,16.214
