"","nr","X14.00","X15.00","X16.00","X16.1.iso.17.0","cis.9.16.1","X17.00","X17.1.16.2","X18.00","cis.9.18.1","cis.11.18.1","X18.2n.6","X20.00","X18.3n.3","X20.01","X18.4n.3","X20.3n.6","X22.00","X20.4n.6","X20.4n.3","X20.5n.3","X24.01.00","X22.5n.6","X22.5n.3","X22.6n.3"
"46",222,2.004,0.434,20.443,0.625,5.078,0.617,0.507,7.843,12.989,4.768,1.277,0.226,0.567,0.843,0.212,0.201,0.14,3.022,1.866,10.962,2.468,0.389,3.517,18.338
"47",24,1.941,0.446,23.517,0.557,3.71,0.511,0.293,6.957,16.243,3.898,0.833,0.233,0.564,0.896,0.245,0.161,0.231,3.185,2.342,8.063,2.115,0.475,2.974,19.073
"48",187,1.61,0.525,23.434,0.563,3.346,0.652,0.322,7.196,15.029,3.865,0.908,0.168,0.693,1.05,0.16,0.173,0.136,3.769,1.789,6.996,3.284,0.644,3.046,20.416
"49",192,1.303,0.478,20.562,0.651,3.014,0.966,0.585,8.901,11.896,3.142,0.907,0.358,0.616,1.726,0.129,0.208,0.205,6.951,0.983,7.167,3.993,0.829,2.583,20.909
"50",212,2.446,0.56,21.983,0.481,4.327,0.606,0.407,7.287,14.528,4.19,1.076,0.226,0.542,1.064,0.253,0.214,0.103,3.555,2.248,7.536,2.367,0.496,3.446,19.715
"51",226,1.175,0.463,21.754,0.743,2.367,0.906,0.303,8.646,12.954,4.406,0.961,0.285,0.358,1.221,0.11,0.161,0.17,4.006,1.778,10.088,3.131,0.441,3.646,18.764
"52",230,1.16,0.355,23.197,0.429,2.618,0.65,0.233,8.617,14.929,3.29,0.705,0.389,0.335,1.164,0.104,0.205,0.166,3.665,1.774,8.748,3.15,0.636,2.888,20.477
"53",266,1.499,0.533,16.966,1.61,2.525,1.235,0.438,9.05,8.771,7.827,0.856,0.22,0.207,0.622,0.093,0.251,0.179,4.755,0.928,14.381,2.69,0.561,5.277,16.457
"54",248,2.005,0.431,21.033,0.608,6.303,0.811,0.581,8.284,8.641,5.39,1.098,0.284,0.269,0.295,0.162,0.324,0.133,4.142,0.974,11.865,2.755,0.549,3.747,18.683
"55",249,1.274,0.384,20.22,0.609,3.059,0.811,0.31,9.382,9.695,4.135,1.066,0.333,0.585,0.39,0.135,0.271,0.321,4.787,1.23,10.827,3.411,0.493,3.573,21.99
"56",268,1.251,0.433,22.159,0.966,2.835,0.746,0.341,9.336,12.811,4.679,0.787,0.313,0.309,0.358,0.072,0.136,0.158,4.647,1.107,8.573,4.112,0.627,2.861,19.725
"57",276,1.975,0.684,20.352,1.563,4.508,1.533,0.667,8.505,9.099,8.214,0.801,0.2,0.177,0.708,0.243,0.25,0.125,3.649,0.778,12.453,1.985,0.552,6.249,12.377
"58",269,1.258,0.441,16.757,1.684,2.76,1.19,0.351,9.024,9.447,7.29,0.751,0.288,0.226,0.486,0.058,0.168,0.206,5.057,1.056,12.023,3.199,0.628,5.404,18.281
"59",267,0.748,0.346,19.838,0.873,2.15,0.944,0.334,9.664,11.505,4.391,0.86,0.398,0.256,0.592,0.055,0.19,0.2,5.671,1.061,9.876,4.098,0.737,3.733,20.241
"60",255,2.795,0.537,20.594,0.853,5.914,0.86,0.799,8.309,9.801,5.782,1.402,0.294,0.702,0.485,0.269,0.256,0.211,2.933,1.092,11.271,2.935,0.415,4.575,15.906
