nr;datum;Locatie;Locatie_A;Locatie_Oever;Methode;;;Microplastics/Contaminatie/vezels (katoen?);Cladocera sp.;Annelida;Polychaete;Isopoda;Diptera sp.;Chironomida sp.;Crustaceae sp.;Cyclopoida sp.;Unidentified sp.;Amphipoda sp.;Calanoida sp.;Copepoda sp.;Harpacticoid Copepod;Hexapode sp. ();keverlarve;Pennate diatomee;Plantae sp.;Empty
170;21/04/2017;MI-RO-SU;Midden VA;RO;Substraat;;;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0
171;21/04/2017;MI-RO-SU;Midden VA;RO;Substraat;;;0;0;0;1;0;0;0;0;0;1;10;0;2;3;0;0;0;0;0
172;22/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;2;0;0;1;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0
173;22/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
174;22/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0
175;22/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;2;1;0;0;0;2;0;0;0;0;0
176;28/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;5;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0
177;5/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;3;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0
178;28/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0
179;28/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0
180;28/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0
181;28/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
182;28/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0
183;28/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0
184;28/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;2;0;0;0;0;0;0;0;17;2;0;0;1;0;0;0;0;0;0
185;28/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;60;1;0;0;1;0;0;0;0;0;0
186;28/04/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;1;0;0;0;0;0;0;0;69;2;0;0;0;0;0;0;0;0;0
187;28/04/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;1;0;0;1;0;0;0;0;56;0;0;0;7;0;0;0;0;0;0
188;28/04/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;2;0;1;0;0;0;0;34;0;0;0;0;1;0;0;0;0;0
189;28/04/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0
190;28/04/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
191;28/04/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;3;0;2;0;0;0;0;148;1;0;0;0;0;0;0;0;0;0
192;28/04/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;1;12;0;0;0;0;0;0;4;0;0;2;64;0;0;0;0;0;0
193;28/04/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
194;28/04/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;1;0;0;1;0;0;0;0;65;0;0;0;1;0;0;0;0;0;0
195;28/04/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;1;0;0;1;0;0;0;0;124;0;0;0;6;0;0;0;0;0;0
196;5/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;1;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0
197;5/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
198;5/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;1;0;0;0;0;10;3;0;0;0;0;0;0;0;0;0
199;5/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
200;5/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;2;0;1;0;0;0;0;10;0;0;0;1;0;0;0;0;0;0
201;5/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0
202;5/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;1;0;0;0;0;12;1;0;0;0;2;0;0;0;0;0
203;5/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;1;0;0;0;0;0;0;3;0;0;0;15;0;0;0;0;4;0
204;5/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;1;0;0;1;0;0;0;0;40;1;0;0;0;0;0;0;0;0;0
205;5/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
206;5/05/2017;SC-RO-SU;Sluizencomplex VA;RO;Substraat;;;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;1;0;0;0
207;5/05/2017;SC-RO-SU;Sluizencomplex VA;RO;Substraat;;;0;0;0;1;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0
208;5/05/2017;SC-RO-SU;Sluizencomplex VA;RO;Substraat;;;0;0;0;0;0;0;0;0;5;2;0;0;0;1;0;0;0;0;0
209;5/05/2017;SC-RO-SU;Sluizencomplex VA;RO;Substraat;;;0;1;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
210;5/05/2017;SC-RO-SU;Sluizencomplex VA;RO;Substraat;;;0;0;0;1;0;1;0;0;35;1;0;0;0;2;0;0;0;0;0
211;5/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;0;0;0;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0
212;5/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;0;0;0;1;0;0;0;0;9;0;0;0;0;1;0;0;0;0;0
213;5/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0
214;5/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;0;1;0;1;0;0;1;0;9;0;0;0;0;3;0;0;0;0;0
215;5/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
216;12/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;4;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0
217;12/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;4;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0
218;12/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;1;6;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0
219;12/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
220;12/05/2017;PG-R0-PA;Pompgemaal;RO;Palinggoot;;;0;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
221;12/05/2017;SC-RO-SU;Sluizencomplex VA;RO;Substraat;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222;12/05/2017;SC-RO-SU;Sluizencomplex VA;RO;Substraat;;;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
223;12/05/2017;SC-RO-SU;Sluizencomplex VA;RO;Substraat;;;0;0;0;1;0;0;1;0;26;1;0;0;0;2;0;0;0;0;0
224;12/05/2017;SC-RO-SU;Sluizencomplex VA;RO;Substraat;;;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
225;12/05/2017;SC-RO-SU;Sluizencomplex VA;RO;Substraat;;;0;0;0;1;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0
226;12/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
227;12/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;0;0;0;0;0;0;1;0;8;3;0;0;0;6;0;0;0;0;0
228;12/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
229;12/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
230;12/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;1;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0
231;12/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0
232;12/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;9;2;0;0;2;0;0;0;0;0;0
233;12/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;1;0;1;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0
234;12/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;6;0;0;2;9;0;0;0;0;0;0
235;12/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;1;0;1;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0
236;13/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;3;0;2;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0
237;19/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;1;0;1;0;0;0;0;1;2;1;0;1;0;0;0;0;0;0
238;19/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;18;0;0;0;0;0;0;11;1;0;0;0;0;0;0;0;0;0
239;19/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;1;2;0;1;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0
240;19/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;2;0;1;0;0;0;0;16;1;0;0;0;0;0;0;0;0;0
241;19/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;1;1;0;2;0;0;0;0;1;0;0;0;3;0;1;0;0;0;0
242;15/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
243;15/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
244;19/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0
245;19/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;1;0;1;0;0;1;0;13;0;0;0;0;0;0;0;0;0;0
246;19/05/2017;SC-LO-SU;Sluizencomplex VA;LO;Substraat;;;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
247;15/05/2017;SC-LO-SU;Sluizencomplex VA;LO;Substraat;;;0;0;0;2;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0
248;19/05/2017;SC-LO-SU;Sluizencomplex VA;LO;Substraat;;;0;0;0;1;0;0;1;0;1;0;4;0;0;2;0;0;0;0;0
249;19/05/2017;SC-LO-SU;Sluizencomplex VA;LO;Substraat;;;1;0;0;4;0;0;0;0;3;14;1;0;0;8;0;0;0;0;0
250;19/05/2017;SC-LO-SU;Sluizencomplex VA;LO;Substraat;;;0;0;0;2;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0
251;19/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
252;19/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
253;19/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
254;19/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;0;0;0;1;0;0;0;0;0;0;1;0;0;6;0;0;0;0;0
255;19/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;1;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0
256;24/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
257;24/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
258;24/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;4;0;2;0;1;0;0;4;1;0;0;1;0;0;0;0;0;0
259;24/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;8;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
260;24/05/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;3;1;11;0;0;0;0;0;0;0;0
261;24/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;4;0;1;0;0;0;0;28;2;0;0;0;0;0;0;0;0;0
262;24/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;21;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
263;24/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;2;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
264;24/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;17;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
265;24/05/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;1;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0
266;24/05/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;1;0;0;0;0;6;0;2;0;0;41;0;0;0;1;0
267;24/05/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;1;13;0;4;0;0;0;0;52;2;1;0;12;13;0;0;0;0;0
268;24/05/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;2;0;0;0;0;0;0;0;4;1;0;0;0;30;0;0;0;0;0
269;24/05/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
270;24/05/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
271;24/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;0;0;0;1;0;0;0;0;0;2;0;0;7;31;0;0;0;0;0
272;24/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;0;1;0;1;0;0;0;0;7;2;0;0;0;2;0;0;0;0;0
273;24/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;1;0;0;1;0;0;0;0;2;1;2;0;0;126;0;0;0;0;0
274;24/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;2;0;0;1;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0
275;24/05/2017;MI-RO-SU;Midden VA;RO;Substraat;;;0;0;0;1;1;0;0;0;0;1;0;0;0;15;0;0;0;0;0
276;24/05/2017;SC-RO-SU;Sluizencomplex VA;RO;Substraat;;;0;0;0;3;0;0;0;0;0;0;2;0;0;5;0;0;0;0;0
