nr;datum;Locatie;Locatie_A;Locatie_Oever;Methode;;;Microplastics/Contaminatie/vezels (katoen?);Cladocera sp.;Annelida;Polychaete;Isopoda;Diptera sp.;Chironomida sp.;Crustaceae sp.;Cyclopoida sp.;Unidentified sp.;Amphipoda sp.;Calanoida sp.;Copepoda sp.;Harpacticoid Copepod;Hexapode sp. ();keverlarve;Pennate diatomee;Plantae sp.;Empty
40;24/03/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
41;24/03/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
42;24/03/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
43;24/03/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
44;24/03/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
45;24/03/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
46;24/03/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
47;24/03/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
48;24/03/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
49;24/03/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
50;24/03/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
51;24/03/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
52;24/03/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
53;24/03/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
54;24/03/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
55;24/03/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
56;24/03/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
57;24/03/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
58;24/03/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
59;24/03/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
60;24/03/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;24/03/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
62;24/03/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;31/03/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
64;31/03/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
65;31/03/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
66;31/03/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
67;31/03/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
68;31/03/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
69;31/03/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
70;31/03/2017;PG-L0-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
71;31/03/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
72;31/03/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
73;31/03/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;31/03/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
75;31/03/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
76;31/03/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
77;31/03/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
78;31/03/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
79;31/03/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
80;31/03/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;31/03/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
82;31/03/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
83;1/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
84;1/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
85;1/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
86;1/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
87;1/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
88;7/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
89;7/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
90;7/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
91;7/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
92;7/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
93;7/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
94;7/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
95;7/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
96;7/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
97;7/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
98;7/04/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
99;7/04/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
100;7/04/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
101;7/04/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
102;7/04/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
103;7/04/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
104;7/04/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
105;7/04/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
