nr;X14.00;X15.00;X16.00;X16.1.iso.17.0;cis.9.16.1;X17.00;X17.1.16.2;X18.00;cis.9.18.1;cis.11.18.1;X18.2n.6;X20.00;X18.3n.3;X20.01;X18.4n.3;X20.3n.6;X22.00;X20.4n.6;X20.4n.3;X20.5n.3;X24.01.00;X22.5n.6;X22.5n.3;X22.6n.3;;;;;;
128;5.03;0.609;0.131;6.392;0.185;1.915;0.246;0.176;2.517;2.626;1.638;0.334;0.086;0.082;0.090;0.049;0.098;0.040;1.259;0.296;3.606;0.837;0.167;1.139;;;;;;
129;6.45;0.360;0.109;5.715;0.172;0.865;0.229;0.088;2.652;2.740;1.169;0.301;0.094;0.165;0.110;0.038;0.077;0.091;1.353;0.348;3.060;0.964;0.139;1.010;;;;;;
130;0.00;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;;;;;;
131;0.00;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;;;;;;
132;0.00;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;;;;;;
133;0.00;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;;;;;;
134;0.00;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;;;;;;
135;0.38;47.000;8.351;392.690;10.012;71.229;8.201;6.442;97.676;287.662;71.209;14.202;3.984;12.486;26.841;4.985;2.368;1.797;39.052;47.526;128.055;37.245;7.281;60.166;;;;;;
136;0.00;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;;;;;;
137;2.94;7.277;1.333;59.813;1.420;11.812;1.318;0.949;15.087;43.586;10.344;2.221;0.571;1.413;3.565;0.655;0.483;0.323;6.645;6.188;16.852;5.261;1.122;8.846;;;;;;
138;0.00;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;;;;;;
139;0.00;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;;;;;;
140;7.86;0.491;0.146;7.921;0.220;0.977;0.256;0.125;3.205;4.965;1.309;0.479;0.084;0.298;0.268;0.104;0.056;0.035;1.322;0.595;2.767;1.255;0.319;1.253;;;;;;
141;6.34;0.525;0.117;5.615;0.214;1.051;0.216;0.117;2.451;3.249;0.939;0.556;0.109;0.358;0.128;0.156;0.070;0.077;1.616;0.407;2.684;1.018;0.161;0.871;;;;;;
142;7.14;0.386;0.134;6.840;0.298;0.875;0.230;0.105;2.882;3.954;1.444;0.243;0.097;0.095;0.111;0.022;0.042;0.049;1.434;0.342;2.646;1.269;0.194;0.883;;;;;;
143;5.90;2.069;0.331;17.633;0.420;3.458;0.427;0.289;4.636;12.294;3.012;0.682;0.153;0.435;1.077;0.187;0.108;0.052;1.890;1.927;4.931;1.547;0.363;2.333;;;;;;
144;10.00;2.467;0.433;19.570;0.551;4.342;0.437;0.352;5.062;15.819;4.020;0.781;0.161;0.649;1.341;0.221;0.126;0.070;1.747;2.299;6.061;1.477;0.304;3.155;;;;;;
145;4.36;2.229;0.453;20.424;0.513;3.668;0.464;0.383;5.004;14.143;3.796;0.722;0.172;0.495;1.035;0.196;0.114;0.072;2.019;2.012;5.381;2.043;0.462;2.788;;;;;;
146;5.30;1.420;0.372;14.815;0.382;2.502;0.363;0.246;4.005;10.701;2.419;0.563;0.156;0.285;0.906;0.124;0.114;0.068;1.930;1.447;4.816;1.626;0.241;2.368;;;;;;
147;6.38;0.898;0.206;9.230;0.393;1.884;0.424;0.216;4.052;4.212;2.468;0.471;0.137;0.148;0.229;0.048;0.113;0.079;1.794;0.497;5.411;1.543;0.268;2.173;;;;;;
