nr;X14.00;X15.00;X16.00;X16.1.iso.17.0;cis.9.16.1;X17.00;X17.1.16.2;X18.00;cis.9.18.1;cis.11.18.1;X18.2n.6;X20.00;X18.3n.3;X20.01;X18.4n.3;X20.3n.6;X22.00;X20.4n.6;X20.4n.3;X20.5n.3;X24.01.00;X22.5n.6;X22.5n.3;X22.6n.3;;;;;;
84;6.43;5.055;0.840;42.690;1.153;8.258;0.919;0.865;10.519;33.346;33.346;1.501;0.354;1.134;2.506;0.507;0.278;0.137;4.308;4.805;12.323;3.396;0.659;6.462;;;;;;
85;3.69;1.715;0.609;19.409;1.842;2.888;1.412;0.501;10.353;10.034;8.954;0.979;0.252;0.237;0.711;0.106;0.287;0.204;5.439;1.062;16.451;3.077;0.642;6.036;;;;;;
86;5.03;0.609;0.131;6.392;0.185;1.915;0.246;0.176;2.517;2.626;1.638;0.334;0.086;0.082;0.090;0.049;0.098;0.040;1.259;0.296;3.606;0.837;0.167;1.139;;;;;;
87;6.45;0.360;0.109;5.715;0.172;0.865;0.229;0.088;2.652;2.740;1.169;0.301;0.094;0.165;0.110;0.038;0.077;0.091;1.353;0.348;3.060;0.964;0.139;1.010;;;;;;
88;0.00;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;;;;;;
89;7.86;0.491;0.146;7.921;0.220;0.977;0.256;0.125;3.205;4.965;1.309;0.479;0.084;0.298;0.268;0.104;0.056;0.035;1.322;0.595;2.767;1.255;0.319;1.253;;;;;;
90;6.34;0.525;0.117;5.615;0.214;1.051;0.216;0.117;2.451;3.249;0.939;0.556;0.109;0.358;0.128;0.156;0.070;0.077;1.616;0.407;2.684;1.018;0.161;0.871;;;;;;
91;7.14;0.386;0.134;6.840;0.298;0.875;0.230;0.105;2.882;3.954;1.444;0.243;0.097;0.095;0.111;0.022;0.042;0.049;1.434;0.342;2.646;1.269;0.194;0.883;;;;;;
92;7.00;1.078;0.373;11.106;0.853;2.460;0.836;0.364;4.641;4.965;4.482;0.437;0.109;0.097;0.386;0.132;0.137;0.068;1.992;0.424;6.796;1.083;0.301;3.410;;;;;;
93;1.96;1.339;0.470;17.829;1.792;2.937;1.266;0.373;9.601;10.052;7.757;0.799;0.306;0.240;0.517;0.061;0.179;0.219;5.380;1.124;12.792;3.403;0.668;5.749;;;;;;
94;6.14;0.323;0.149;8.558;0.376;0.928;0.407;0.144;4.169;4.964;1.894;0.371;0.172;0.111;0.255;0.024;0.082;0.086;2.447;0.458;4.261;1.768;0.318;1.610;;;;;;
