Datum;Locatie;lengte (mm);gewicht (mg);pigmentatie
4/03/2016;VA_PG_LO_PA;67;200;VIA3
4/03/2016;VA_PG_LO_PA;64;200;VIA2
4/03/2016;VA_PG_LO_PA;72;300;VIA4
4/03/2016;VA_PG_LO_PA;67;200;VIA3
4/03/2016;VA_PG_LO_PA;67;300;VIA3
11/03/2016;VA_PG_LO_PA;76;358;VIA4
11/03/2016;VA_PG_LO_PA;78;394;VIA4
11/03/2016;VA_PG_LO_PA;80;425;VIA1
11/03/2016;VA_PG_LO_PA;80;510;VIB
11/03/2016;VA_PG_RO_PA;66;231;VB
11/03/2016;VA_PG_RO_PA;78;383;VIA2
11/03/2016;VA_PG_RO_PA;69;266;VIA1
11/03/2016;VA_PG_RO_PA;74;320;VIA2
11/03/2016;VA_PG_RO_PA;64;174;VIA1
11/03/2016;VA_PG_RO_PA;72;371;VIA4
11/03/2016;VA_PG_RO_PA;72;364;VIA3
11/03/2016;VA_PG_RO_PA;77;353;VIA3
11/03/2016;VA_PG_RO_PA;72;330;VIA3
11/03/2016;VA_PG_RO_PA;77;351;VB
11/03/2016;VA_PG_RO_PA;71;293;VIA1
11/03/2016;VA_PG_RO_PA;76;357;VB
11/03/2016;VA_PG_RO_PA;65;230;VIA0
11/03/2016;VA_PG_RO_PA;74;313;VB
11/03/2016;VA_PG_RO_PA;73;290;VIA0
11/03/2016;VA_PG_RO_PA;73;344;VIA1
11/03/2016;VA_PG_RO_PA;74;360;VIA2
11/03/2016;VA_PG_RO_PA;67;300;VIA4
11/03/2016;VA_PG_RO_PA;77;368;VIA3
11/03/2016;VA_PG_RO_PA;73;339;VB
11/03/2016;VA_PG_RO_PA;73;404;VIA1
11/03/2016;VA_PG_RO_PA;69;271;VIA1
11/03/2016;VA_PG_RO_PA;75;365;VIA1
11/03/2016;VA_PG_RO_PA;75;328;VIA1
11/03/2016;VA_PG_RO_PA;70;304;VB
11/03/2016;VA_PG_RO_PA;65;231;VIA1
11/03/2016;VA_PG_RO_PA;71;316;VIA0
11/03/2016;VA_PG_RO_PA;74;355;VIA3
11/03/2016;VA_PG_RO_PA;72;306;VIA2
11/03/2016;VA_PG_RO_PA;67;212;VIA0
11/03/2016;VA_PG_RO_PA;73;322;VIA3
11/03/2016;VA_PG_RO_PA;75;376;VIA3
11/03/2016;VA_PG_RO_PA;70;279;VB
11/03/2016;VA_PG_RO_PA;70;303;VB
11/03/2016;VA_PG_RO_PA;76;424;VIA0
11/03/2016;VA_PG_RO_PA;75;343;VIA3
11/03/2016;VA_PG_RO_PA;75;308;VB
11/03/2016;VA_PG_RO_PA;69;316;VIA1
11/03/2016;VA_PG_RO_PA;72;324;VB
11/03/2016;VA_PG_RO_PA;73;351;VIA4
11/03/2016;VA_PG_RO_PA;71;250;VIA3
11/03/2016;VA_PG_RO_PA;75;378;VIA3
11/03/2016;VA_PG_RO_PA;68;302;VB
11/03/2016;VA_PG_RO_PA;77;385;VIA3
11/03/2016;VA_PG_RO_PA;77;373;VIA4
11/03/2016;VA_PG_RO_PA;71;330;VB
11/03/2016;VA_PG_RO_PA;74;358;VB
11/03/2016;VA_PG_RO_PA;69;304;VIA3
11/03/2016;VA_PG_RO_PA;74;317;VIA3
11/03/2016;VA_PG_RO_PA;79;376;VIA3
11/03/2016;VA_PG_RO_PA;74;372;VIA2
11/03/2016;VA_PG_RO_PA;72;318;VIA3
12/03/2016;VA_PG_KR_NA;73;332;VIA1
12/03/2016;VA_PG_KR_NA;75;341;VIA1
12/03/2016;VA_PG_KR_NA;75;406;VIA0
12/03/2016;VA_PG_KR_NA;67;263;VIA3
12/03/2016;VA_PG_KR_NA;75;298;VIA2
12/03/2016;VA_PG_KR_NA;77;352;VIA1
12/03/2016;VA_PG_KR_NA;71;349;VIA2
12/03/2016;VA_PG_KR_NA;73;385;VIA2
12/03/2016;VA_PG_KR_NA;78;380;VIA2
12/03/2016;VA_PG_KR_NA;71;335;VIA0
12/03/2016;VA_PG_KR_NA;77;463;VIA3
12/03/2016;VA_PG_KR_NA;81;345;VIA3
12/03/2016;VA_PG_KR_NA;62;194;VB
12/03/2016;VA_PG_KR_NA;71;310;VIA3
12/03/2016;VA_PG_KR_NA;67;283;VIA1
12/03/2016;VA_PG_KR_NA;75;337;VIA3
12/03/2016;VA_PG_KR_NA;72;361;VIA0
12/03/2016;VA_PG_KR_NA;72;327;VIA3
12/03/2016;VA_PG_KR_NA;73;326;VIA1
12/03/2016;VA_PG_KR_NA;75;427;VIA1
12/03/2016;VA_PG_KR_NA;81;486;VIA3
12/03/2016;VA_PG_KR_NA;78;462;VIA1
12/03/2016;VA_PG_KR_NA;76;413;VIA3
12/03/2016;VA_PG_KR_NA;76;300;VIA1
12/03/2016;VA_PG_KR_NA;72;350;VIA2
12/03/2016;VA_PG_KR_NA;73;372;VIA0
12/03/2016;VA_PG_KR_NA;73;328;VIA3
12/03/2016;VA_PG_KR_NA;74;198;VIA0
12/03/2016;VA_PG_KR_NA;69;277;VIA1
12/03/2016;VA_PG_KR_NA;79;451;VIA4
18/03/2016;VA_PG_LO_PA;80;475;VIA3
18/03/2016;VA_PG_LO_PA;73;372;VIA0
18/03/2016;VA_PG_LO_PA;67;291;VB
18/03/2016;VA_PG_LO_PA;82;467;VIA0
18/03/2016;VA_PG_LO_PA;72;341;VIA4
18/03/2016;VA_PG_LO_PA;78;428;VIA0
18/03/2016;VA_PG_LO_PA;82;472;VIA2
18/03/2016;VA_PG_LO_PA;74;359;VIA0
18/03/2016;VA_PG_LO_PA;68;257;VIA2
18/03/2016;VA_PG_LO_PA;77;389;VIA2
18/03/2016;VA_PG_LO_PA;78;394;VB
18/03/2016;VA_PG_LO_PA;81;353;VIA2
18/03/2016;VA_PG_LO_PA;78;433;VIA2
18/03/2016;VA_PG_LO_PA;68;254;VIA1
18/03/2016;VA_PG_LO_PA;78;438;VIA1
18/03/2016;VA_PG_LO_PA;74;313;VIA0
18/03/2016;VA_PG_LO_PA;72;273;VIA4
18/03/2016;VA_PG_LO_PA;71;326;VIA4
18/03/2016;VA_PG_LO_PA;79;367;VIA4
18/03/2016;VA_PG_LO_PA;66;286;VIA3
18/03/2016;VA_PG_LO_PA;75;362;VIA1
18/03/2016;VA_PG_LO_PA;71;268;VIA2
18/03/2016;VA_PG_LO_PA;78;394;VIA2
18/03/2016;VA_PG_LO_PA;79;468;VIA4
18/03/2016;VA_PG_LO_PA;71;303;VIA0
18/03/2016;VA_PG_LO_PA;75;370;VIA3
18/03/2016;VA_PG_LO_PA;76;382;VIA3
18/03/2016;VA_PG_LO_PA;73;344;VB
18/03/2016;VA_PG_LO_PA;76;365;VIA0
18/03/2016;VA_PG_LO_PA;78;425;VIA3
18/03/2016;VA_PG_LO_PA;74;322;VB
18/03/2016;VA_PG_LO_PA;75;416;VIA1
18/03/2016;VA_PG_LO_PA;76;374;VB
18/03/2016;VA_PG_LO_PA;68;305;VB
18/03/2016;VA_PG_LO_PA;75;270;VB
18/03/2016;VA_PG_LO_PA;68;312;VIA1
18/03/2016;VA_PG_LO_PA;69;273;VIA0
18/03/2016;VA_PG_LO_PA;74;371;VB
18/03/2016;VA_PG_LO_PA;77;421;VIA2
18/03/2016;VA_PG_LO_PA;73;321;VIA2
18/03/2016;VA_PG_LO_PA;73;282;VB
18/03/2016;VA_PG_LO_PA;71;381;VIA2
18/03/2016;VA_PG_LO_PA;76;368;VB
18/03/2016;VA_PG_LO_PA;76;367;VIA3
18/03/2016;VA_PG_LO_PA;77;390;VIA0
18/03/2016;VA_PG_LO_PA;73;366;VIA3
18/03/2016;VA_PG_LO_PA;79;400;VIA2
18/03/2016;VA_PG_LO_PA;78;426;VIA0
18/03/2016;VA_PG_LO_PA;78;456;VIA2
18/03/2016;VA_PG_LO_PA;72;411;VIA3
18/03/2016;VA_PG_LO_PA;353;;gele paling
18/03/2016;VA_PG_RO_PA;69;302;VIA4
18/03/2016;VA_PG_RO_PA;76;397;VIA1
18/03/2016;VA_PG_RO_PA;69;202;VB
18/03/2016;VA_PG_RO_PA;77;438;VIA3
18/03/2016;VA_PG_RO_PA;76;311;VIA0
18/03/2016;VA_PG_RO_PA;68;247;VB
18/03/2016;VA_PG_RO_PA;74;440;VIA3
18/03/2016;VA_PG_RO_PA;74;333;VIA3
18/03/2016;VA_PG_RO_PA;67;253;VIA2
18/03/2016;VA_PG_RO_PA;74;336;VIA1
18/03/2016;VA_PG_RO_PA;71;245;VIA0
18/03/2016;VA_PG_RO_PA;73;317;VB
18/03/2016;VA_PG_RO_PA;67;244;VB
18/03/2016;VA_PG_RO_PA;72;291;VIA2
18/03/2016;VA_PG_RO_PA;75;344;VB
18/03/2016;VA_PG_RO_PA;70;255;VB
18/03/2016;VA_PG_RO_PA;71;256;VIA2
18/03/2016;VA_PG_RO_PA;67;173;VB
18/03/2016;VA_PG_RO_PA;75;400;VIA1
18/03/2016;VA_PG_RO_PA;71;310;VIA1
18/03/2016;VA_PG_RO_PA;64;244;VIA1
18/03/2016;VA_PG_RO_PA;71;223;VIA2
18/03/2016;VA_PG_RO_PA;71;243;VIA0
18/03/2016;VA_PG_RO_PA;74;321;VIA1
18/03/2016;VA_PG_RO_PA;76;353;VIA0
18/03/2016;VA_PG_RO_PA;69;291;VIA0
18/03/2016;VA_PG_RO_PA;70;314;VIA0
18/03/2016;VA_PG_RO_PA;68;385;VIA0
18/03/2016;VA_PG_RO_PA;73;325;VIA0
18/03/2016;VA_PG_RO_PA;77;405;VIA2
18/03/2016;VA_PG_RO_PA;71;304;VIA0
18/03/2016;VA_PG_RO_PA;67;267;VIA2
18/03/2016;VA_PG_RO_PA;71;375;VB
18/03/2016;VA_PG_RO_PA;75;382;VIA4
18/03/2016;VA_PG_RO_PA;72;315;VIA0
18/03/2016;VA_PG_RO_PA;77;407;VIA0
18/03/2016;VA_PG_RO_PA;65;213;VIA2
18/03/2016;VA_PG_RO_PA;72;284;VIA0
18/03/2016;VA_PG_RO_PA;79;459;VIA2
18/03/2016;VA_PG_RO_PA;72;286;VIA0
18/03/2016;VA_PG_RO_PA;72;280;VB
18/03/2016;VA_PG_RO_PA;70;255;VIA2
18/03/2016;VA_PG_RO_PA;68;247;VIA0
18/03/2016;VA_PG_RO_PA;77;402;VIA4
18/03/2016;VA_PG_RO_PA;77;469;VIA2
18/03/2016;VA_PG_RO_PA;71;282;VIA0
18/03/2016;VA_PG_RO_PA;72;325;VIA1
18/03/2016;VA_PG_RO_PA;64;211;VIA1
18/03/2016;VA_PG_RO_PA;72;326;VIA2
18/03/2016;VA_PG_RO_PA;71;311;VIA0
18/03/2016;VA_PG_RO_PA;192;;potlood
18/03/2016;VA_PG_KR_NA;70;256;VIA2
18/03/2016;VA_PG_KR_NA;72;451;VIA2
18/03/2016;VA_PG_KR_NA;75;297;VIA3
18/03/2016;VA_PG_KR_NA;67;238;VIA0
18/03/2016;VA_PG_KR_NA;68;185;VIA1
18/03/2016;VA_PG_KR_NA;77;343;VIA2
18/03/2016;VA_PG_KR_NA;76;400;VIA2
18/03/2016;VA_PG_KR_NA;72;327;VIA0
18/03/2016;VA_PG_KR_NA;62;200;VB
18/03/2016;VA_PG_KR_NA;68;267;VIA3
18/03/2016;VA_PG_KR_NA;75;453;VIA1
18/03/2016;VA_PG_KR_NA;70;323;VIA2
18/03/2016;VA_PG_KR_NA;70;288;VIA0
18/03/2016;VA_PG_KR_NA;74;356;VIA2
18/03/2016;VA_PG_KR_NA;70;270;VIA3
18/03/2016;VA_PG_KR_NA;76;355;VIA2
18/03/2016;VA_PG_KR_NA;77;293;VIA0
25/03/2016;VA_PG_LO_PA;106;1839;potlood
25/03/2016;VA_PG_LO_PA;104;1321;potlood
25/03/2016;VA_PG_LO_PA;121;1960;potlood
25/03/2016;VA_PG_LO_PA;111;1550;potlood
25/03/2016;VA_PG_LO_PA;97;1318;potlood
25/03/2016;VA_PG_LO_PA;122;1776;potlood
25/03/2016;VA_PG_LO_PA;115;1671;potlood
25/03/2016;VA_PG_LO_PA;136;2247;potlood
25/03/2016;VA_PG_RO_PA;75;397;VIA0
25/03/2016;VA_PG_RO_PA;72;265;VIA2
25/03/2016;VA_PG_RO_PA;67;280;VIA4
25/03/2016;VA_PG_RO_PA;72;283;VIA2
25/03/2016;VA_PG_RO_PA;67;225;VIA4
25/03/2016;VA_PG_RO_PA;66;180;VIA4
25/03/2016;VA_PG_RO_PA;70;262;VB
25/03/2016;VA_PG_RO_PA;63;178;VIA3
25/03/2016;VA_PG_RO_PA;69;301;VIA2
25/03/2016;VA_PG_RO_PA;72;320;VIA0
25/03/2016;VA_PG_RO_PA;78;480;VIA1
25/03/2016;VA_PG_RO_PA;67;213;VIA3
25/03/2016;VA_PG_RO_PA;75;275;VIA2
25/03/2016;VA_PG_RO_PA;75;335;VIA3
25/03/2016;VA_PG_RO_PA;72;337;VIA2
25/03/2016;VA_PG_RO_PA;75;373;VIA3
25/03/2016;VA_PG_RO_PA;68;231;VIA2
25/03/2016;VA_PG_RO_PA;76;373;VIA2
25/03/2016;VA_PG_RO_PA;67;250;VIA3
25/03/2016;VA_PG_RO_PA;67;256;VIA1
25/03/2016;VA_PG_RO_PA;68;206;VIA2
25/03/2016;VA_PG_RO_PA;62;268;VIA2
25/03/2016;VA_PG_RO_PA;72;297;VIA4
25/03/2016;VA_PG_RO_PA;74;392;VIA3
25/03/2016;VA_PG_RO_PA;70;236;VIA2
25/03/2016;VA_PG_RO_PA;65;170;VIA3
25/03/2016;VA_PG_RO_PA;75;332;VIA4
25/03/2016;VA_PG_RO_PA;73;288;VIA0
25/03/2016;VA_PG_RO_PA;70;225;VIA3
25/03/2016;VA_PG_RO_PA;75;367;VIA4
25/03/2016;VA_PG_RO_PA;72;300;VIA3
25/03/2016;VA_PG_RO_PA;68;271;VIA2
25/03/2016;VA_PG_RO_PA;70;238;VIA3
25/03/2016;VA_PG_RO_PA;65;242;VIA2
25/03/2016;VA_PG_RO_PA;70;267;VIA0
25/03/2016;VA_PG_RO_PA;75;337;VIA3
25/03/2016;VA_PG_RO_PA;72;278;VIA2
25/03/2016;VA_PG_RO_PA;68;262;VIA2
25/03/2016;VA_PG_RO_PA;65;214;VIA3
25/03/2016;VA_PG_RO_PA;72;330;VIA2
25/03/2016;VA_PG_RO_PA;74;362;VIA2
25/03/2016;VA_PG_RO_PA;73;349;VIA4
25/03/2016;VA_PG_RO_PA;76;398;VIA0
25/03/2016;VA_PG_RO_PA;73;379;VIA2
25/03/2016;VA_PG_RO_PA;72;326;VIA3
25/03/2016;VA_PG_RO_PA;71;285;VIA2
25/03/2016;VA_PG_RO_PA;67;329;VIA3
25/03/2016;VA_PG_RO_PA;65;253;VIA1
25/03/2016;VA_PG_RO_PA;77;243;VIA0
25/03/2016;VA_PG_RO_PA;70;270;VIA3
25/03/2016;VA_PG_RO_PA;66;226;VIA2
25/03/2016;VA_PG_LO_SU;74;365;VIA2
25/03/2016;VA_PG_LO_SU;76;413;VIA2
25/03/2016;VA_PG_LO_SU;72;291;VIA3
25/03/2016;VA_PG_LO_SU;71;312;VIA1
25/03/2016;VA_PG_LO_SU;76;382;VIA2
25/03/2016;VA_PG_LO_SU;71;338;VIA3
25/03/2016;VA_PG_LO_SU;73;352;VIA2
25/03/2016;VA_PG_LO_SU;70;295;VIA3
25/03/2016;VA_PG_LO_SU;74;331;VIA2
25/03/2016;VA_PG_LO_SU;76;356;VIA3
25/03/2016;VA_PG_LO_SU;70;263;VIA3
25/03/2016;VA_PG_LO_SU;72;323;VB
25/03/2016;VA_PG_LO_SU;71;334;VIA0
25/03/2016;VA_PG_LO_SU;73;288;VIA2
25/03/2016;VA_PG_LO_SU;77;316;VIA2
25/03/2016;VA_PG_LO_SU;73;375;VIA3
25/03/2016;VA_PG_LO_SU;77;354;VIA2
25/03/2016;VA_PG_LO_SU;76;326;VIA2
25/03/2016;VA_PG_LO_SU;64;196;VIA1
25/03/2016;VA_PG_LO_SU;69;226;VB
25/03/2016;VA_PG_LO_SU;58;142;VIA3
25/03/2016;VA_PG_LO_SU;69;259;VIA0
25/03/2016;VA_PG_LO_SU;75;356;VIA2
25/03/2016;VA_PG_LO_SU;74;340;VIA1
25/03/2016;VA_PG_LO_SU;68;275;VIA0
25/03/2016;VA_PG_LO_SU;74;410;VIA2
25/03/2016;VA_PG_LO_SU;72;301;VIA3
25/03/2016;VA_PG_LO_SU;72;318;VIA2
25/03/2016;VA_PG_LO_SU;76;430;VIA0
25/03/2016;VA_PG_LO_SU;73;315;VIA3
25/03/2016;VA_PG_LO_SU;68;301;VIA3
25/03/2016;VA_PG_LO_SU;72;362;VIA3
25/03/2016;VA_PG_LO_SU;70;278;VIA4
25/03/2016;VA_PG_LO_SU;74;318;VIA3
25/03/2016;VA_PG_LO_SU;69;256;VB
25/03/2016;VA_PG_LO_SU;68;257;VIA3
25/03/2016;VA_PG_LO_SU;66;227;VIA0
25/03/2016;VA_PG_LO_SU;65;189;VIA3
25/03/2016;VA_PG_LO_SU;71;265;VIA2
25/03/2016;VA_PG_LO_SU;74;328;VIA2
25/03/2016;VA_PG_LO_SU;75;338;VIA3
25/03/2016;VA_PG_LO_SU;73;339;VIA2
25/03/2016;VA_PG_LO_SU;66;237;VIA2
25/03/2016;VA_PG_LO_SU;71;299;VIA3
25/03/2016;VA_PG_LO_SU;72;309;VIA2
25/03/2016;VA_PG_LO_SU;75;342;VIA3
25/03/2016;VA_PG_LO_SU;71;269;VIA3
25/03/2016;VA_PG_LO_SU;67;278;VIA1
25/03/2016;VA_PG_LO_SU;72;338;VIA3
25/03/2016;VA_PG_LO_SU;69;239;VIA3
25/03/2016;VA_PG_RO_SU;68;266;VIA1
25/03/2016;VA_PG_RO_SU;64;159;VIA3
25/03/2016;VA_PG_RO_SU;73;319;VIA2
25/03/2016;VA_PG_RO_SU;65;206;VIB
25/03/2016;VA_PG_RO_SU;67;256;VIA1
25/03/2016;VA_MI_RO_Fu;315;;gele paling
25/03/2016;VA_PG_KR_NA;76;359;VIA4
25/03/2016;VA_PG_KR_NA;79;420;VIA3
25/03/2016;VA_PG_KR_NA;74;331;VIA3
25/03/2016;VA_PG_KR_NA;75;353;VIA2
25/03/2016;VA_PG_KR_NA;78;431;VIA4
25/03/2016;VA_PG_KR_NA;67;341;VIA2
25/03/2016;VA_PG_KR_NA;73;395;VB
25/03/2016;VA_PG_KR_NA;74;382;VB
25/03/2016;VA_PG_KR_NA;68;329;VIA2
25/03/2016;VA_PG_KR_NA;75;326;VIA2
25/03/2016;VA_PG_KR_NA;77;429;VIA1
25/03/2016;VA_PG_KR_NA;74;353;VIA3
25/03/2016;VA_PG_KR_NA;78;416;VIA1
25/03/2016;VA_PG_KR_NA;75;355;VIA3
25/03/2016;VA_PG_KR_NA;70;300;VIA4
25/03/2016;VA_PG_KR_NA;65;195;VB
25/03/2016;VA_PG_KR_NA;66;277;VIA2
25/03/2016;VA_PG_KR_NA;73;341;VIA4
25/03/2016;VA_PG_KR_NA;65;311;VIA3
25/03/2016;VA_PG_KR_NA;70;266;VIA3
25/03/2016;VA_PG_KR_NA;72;315;VIA2
25/03/2016;VA_PG_KR_NA;62;335;VIA4
25/03/2016;VA_PG_KR_NA;75;441;VIA0
25/03/2016;VA_PG_KR_NA;66;243;VIA1
25/03/2016;VA_PG_KR_NA;85;470;VIA1
25/03/2016;VA_PG_KR_NA;67;278;VIA0
25/03/2016;VA_PG_KR_NA;70;337;VIA3
25/03/2016;VA_PG_KR_NA;75;352;VIA4
25/03/2016;VA_PG_KR_NA;75;330;VB
25/03/2016;VA_PG_KR_NA;75;361;VIA1
25/03/2016;VA_PG_KR_NA;73;323;VIA2
25/03/2016;VA_PG_KR_NA;75;310;VIA2
25/03/2016;VA_PG_KR_NA;73;324;VIA2
25/03/2016;VA_PG_KR_NA;77;397;VIA2
25/03/2016;VA_PG_KR_NA;67;251;VIA2
25/03/2016;VA_PG_KR_NA;71;270;VIA1
25/03/2016;VA_PG_KR_NA;77;378;VIA1
25/03/2016;VA_PG_KR_NA;80;470;VIA2
25/03/2016;VA_PG_KR_NA;70;257;VB
25/03/2016;VA_PG_KR_NA;71;329;VIA3
25/03/2016;VA_PG_KR_NA;71;313;VIA2
25/03/2016;VA_PG_KR_NA;66;242;VIA2
25/03/2016;VA_PG_KR_NA;79;395;VIA2
25/03/2016;VA_PG_KR_NA;74;397;VIA3
25/03/2016;VA_PG_KR_NA;72;352;VIA3
25/03/2016;VA_PG_KR_NA;70;283;VIA4
25/03/2016;VA_PG_KR_NA;71;356;VIA2
25/03/2016;VA_PG_KR_NA;75;352;VIA2
25/03/2016;VA_PG_KR_NA;75;368;VIA2
25/03/2016;VA_PG_KR_NA;74;367;VIA2
25/03/2016;VA_PG_KR_NA;67;144;VIA2
25/03/2016;VA_PG_KR_NA;75;380;VIA0
25/03/2016;IJZ;73;301;VB
25/03/2016;IJZ;71;338;VIA0
1/04/2016;VA_PG_KR_NA;81;412;VIA0
1/04/2016;VA_PG_KR_NA;80;439;VIA4
1/04/2016;VA_PG_KR_NA;73;329;VIA4
1/04/2016;VA_PG_KR_NA;65;218;VIA3
1/04/2016;VA_PG_KR_NA;76;364;VIA3
1/04/2016;VA_PG_KR_NA;72;326;VIA0
1/04/2016;VA_PG_KR_NA;72;309;VIA4
1/04/2016;VA_PG_KR_NA;76;392;VIA3
1/04/2016;VA_PG_KR_NA;76;438;VIA3
1/04/2016;VA_PG_KR_NA;68;276;VIA2
1/04/2016;VA_PG_KR_NA;62;258;VIA1
1/04/2016;VA_PG_KR_NA;78;397;VIA2
1/04/2016;VA_PG_KR_NA;72;290;VIA0
1/04/2016;VA_PG_KR_NA;70;234;VIA2
1/04/2016;VA_PG_KR_NA;67;256;VB
1/04/2016;VA_PG_KR_NA;77;432;VIA3
1/04/2016;VA_PG_LO_PA;109;2050;Potlood
1/04/2016;VA_PG_LO_PA;119;1984;Potlood
1/04/2016;VA_PG_LO_PA;97;938;Potlood
1/04/2016;VA_PG_LO_PA;85;742;Potlood
1/04/2016;VA_PG_LO_PA;101;1195;Potlood
1/04/2016;VA_PG_LO_PA;98;935;Potlood
1/04/2016;VA_PG_LO_PA;93;980;Potlood
1/04/2016;VA_PG_LO_PA;134;3424;Potlood
1/04/2016;VA_PG_LO_PA;247;18600;Potlood
1/04/2016;VA_PG_LO_PA;146;3794;Potlood
1/04/2016;VA_PG_LO_PA;104;1466;Potlood
1/04/2016;VA_PG_LO_PA;91;1126;Potlood
1/04/2016;VA_PG_LO_PA;213;12229;Potlood
1/04/2016;VA_PG_LO_PA;114;1834;Potlood
1/04/2016;VA_PG_LO_PA;90;799;Potlood
1/04/2016;VA_PG_LO_PA;139;2824;Potlood
1/04/2016;VA_PG_LO_PA;100;1185;Potlood
1/04/2016;VA_PG_LO_PA;101;1557;Potlood
1/04/2016;VA_PG_LO_PA;235;53001;Potlood
1/04/2016;VA_PG_LO_PA;109;1637;Potlood
1/04/2016;VA_PG_LO_PA;115;1693;Potlood
1/04/2016;VA_PG_LO_PA;91;780;Potlood
1/04/2016;VA_PG_LO_PA;98;1264;Potlood
1/04/2016;VA_PG_LO_PA;129;3129;Potlood
1/04/2016;VA_PG_LO_PA;111;1801;Potlood
1/04/2016;VA_PG_LO_PA;95;911;Potlood
1/04/2016;VA_PG_LO_PA;92;988;Potlood
1/04/2016;VA_PG_LO_PA;97;1097;Potlood
1/04/2016;VA_PG_LO_PA;92;848;Potlood
1/04/2016;VA_PG_LO_PA;111;1576;Potlood
1/04/2016;VA_PG_LO_PA;99;1048;Potlood
1/04/2016;VA_PG_LO_PA;96;953;Potlood
1/04/2016;VA_PG_LO_PA;113;2230;Potlood
1/04/2016;VA_PG_LO_PA;119;2126;Potlood
1/04/2016;VA_PG_LO_PA;98;970;Potlood
1/04/2016;VA_PG_LO_PA;101;1143;Potlood
1/04/2016;VA_PG_LO_PA;107;1516;Potlood
1/04/2016;VA_PG_LO_PA;109;1942;Potlood
1/04/2016;VA_PG_LO_PA;99;1288;Potlood
1/04/2016;VA_PG_LO_PA;189;7408;Potlood
1/04/2016;VA_PG_LO_PA;66;262;VIA4
1/04/2016;VA_PG_LO_PA;76;378;VIA1
1/04/2016;VA_PG_LO_PA;74;300;VIA2
1/04/2016;VA_PG_LO_PA;68;282;VIA2
1/04/2016;VA_PG_LO_PA;73;288;VIA2
1/04/2016;VA_PG_LO_PA;74;334;VIA3
1/04/2016;VA_PG_LO_PA;80;422;VIA3
1/04/2016;VA_PG_LO_PA;74;355;VIA2
1/04/2016;VA_PG_LO_PA;63;230;VIA2
1/04/2016;VA_PG_LO_PA;75;313;VIA3
1/04/2016;VA_PG_LO_PA;81;418;VIA3
1/04/2016;VA_PG_LO_PA;66;265;VIA0
1/04/2016;VA_PG_LO_PA;77;446;VIA3
1/04/2016;VA_PG_LO_PA;72;360;VIA3
1/04/2016;VA_PG_LO_PA;69;351;VIA2
1/04/2016;VA_PG_LO_PA;70;300;VIA2
1/04/2016;VA_PG_LO_PA;76;334;VIA2
1/04/2016;VA_PG_LO_PA;76;376;VIA4
1/04/2016;VA_PG_LO_PA;69;282;VIA3
1/04/2016;VA_PG_LO_PA;77;421;VIA3
1/04/2016;VA_PG_LO_PA;68;303;VIA2
1/04/2016;VA_PG_LO_PA;72;323;VIA2
1/04/2016;VA_PG_LO_PA;68;330;VIA3
1/04/2016;VA_PG_LO_PA;72;293;VIA3
1/04/2016;VA_PG_LO_PA;73;291;VIA2
1/04/2016;VA_PG_LO_PA;76;410;VIA3
1/04/2016;VA_PG_LO_PA;77;355;VIA3
1/04/2016;VA_PG_LO_PA;71;254;VIA1
1/04/2016;VA_PG_LO_PA;67;246;VIA3
1/04/2016;VA_PG_LO_PA;79;447;VIA3
1/04/2016;VA_PG_LO_PA;64;247;VIA3
1/04/2016;VA_PG_LO_PA;71;441;VIA4
1/04/2016;VA_PG_LO_PA;71;243;VB
1/04/2016;VA_PG_LO_PA;77;379;VIA2
1/04/2016;VA_PG_LO_PA;72;292;VIA3
1/04/2016;VA_PG_LO_PA;79;436;VIA4
1/04/2016;VA_PG_LO_PA;65;216;VIA4
1/04/2016;VA_PG_LO_PA;77;331;VIA4
1/04/2016;VA_PG_LO_PA;71;311;VIA3
1/04/2016;VA_PG_LO_PA;66;263;VIA3
1/04/2016;VA_PG_LO_PA;69;245;VIA4
1/04/2016;VA_PG_LO_PA;78;227;VIA3
1/04/2016;VA_PG_LO_PA;71;295;VIA3
1/04/2016;VA_PG_LO_PA;75;438;VIA4
1/04/2016;VA_PG_LO_PA;68;259;VIA4
1/04/2016;VA_PG_LO_PA;72;352;VIA4
1/04/2016;VA_PG_LO_PA;72;379;VIA4
1/04/2016;VA_PG_LO_PA;73;273;VIA3
1/04/2016;VA_PG_LO_PA;71;369;VIA2
1/04/2016;VA_PG_LO_PA;73;361;VIA4
1/04/2016;VA_PG_RO_PA;108;1593;Potlood
1/04/2016;VA_PG_RO_PA;96;1106;Potlood
1/04/2016;VA_PG_RO_PA;142;3220;Potlood
1/04/2016;VA_PG_RO_PA;156;4327;Potlood
1/04/2016;VA_PG_RO_PA;92;1006;Potlood
1/04/2016;VA_PG_RO_PA;116;2286;Potlood
1/04/2016;VA_PG_RO_PA;137;4927;Potlood
1/04/2016;VA_PG_RO_PA;94;1076;Potlood
1/04/2016;VA_PG_RO_PA;125;2839;Potlood
1/04/2016;VA_PG_RO_PA;89;679;Potlood
1/04/2016;VA_PG_RO_PA;99;1133;Potlood
1/04/2016;VA_PG_RO_PA;106;1501;Potlood
1/04/2016;VA_PG_RO_PA;116;1816;Potlood
1/04/2016;VA_PG_RO_PA;98;1246;Potlood
1/04/2016;VA_PG_RO_PA;116;2128;Potlood
1/04/2016;VA_PG_RO_PA;98;1057;Potlood
