"","LocationVA","X14.00","X15.00","X16.00","X16.1.iso.17.0","cis.9.16.1","X17.00","X17.1.16.2","X18.00","cis.9.18.1","cis.11.18.1","X18.2n.6","X20.00","X18.3n.3","X20.01","X18.4n.3","X20.3n.6","X22.00","X20.4n.6","X20.4n.3","X20.5n.3","X24.01.00","X22.5n.6","X22.5n.3","X22.6n.3"
"1","Middle Veurne-Ambacht",0.438883654178145,0.0940595049752574,3.4631500737527,0.256161844301977,0.867066672341703,0.194224170924807,0.109666377188791,1.24034040834419,2.3514557831267,1.14273023521573,0.182819830642604,0.0440441877685408,0.101182578963546,0.202754190843893,0.0357673035047374,0.0392868571262342,0.0346943799483432,0.776769859279899,0.373483148086713,1.98848101754652,0.494749258282848,0.090593913387474,0.887720749206319,2.95094921371154
"2","Pumping Station",1.05417327366477,0.169860409118366,6.40519357240669,0.34591590909008,1.34623391449081,0.246228880548488,0.13956902640383,1.81205374945367,4.82724734735286,2.35603619186415,0.267125813054448,0.0556084616771675,0.216084813128194,0.419028162550086,0.100025107959063,0.0512674015788441,0.039686842335281,0.974718803273306,0.887891741967761,2.67063905358726,0.612308607903834,0.139839760389735,1.16790685900594,4.59635543071405
"3","Sluice Complex",0.775425901789892,0.202743803851067,7.81605464599415,0.288748672435621,1.28060323675993,0.335689315687388,0.150324413076076,2.84615502549785,5.59236135575423,1.88339167461259,0.373089572578311,0.0858633604435947,0.149865050406468,0.508210323914552,0.0816139030231165,0.0738898955654064,0.0484034692282829,1.4182906951092,0.893497323256576,3.06615869343603,1.0799487777205,0.206711060420095,1.38099145544062,7.13092465690811
