"","LocationVA","X14.00","X15.00","X16.00","X16.1.iso.17.0","cis.9.16.1","X17.00","X17.1.16.2","X18.00","cis.9.18.1","cis.11.18.1","X18.2n.6","X20.00","X18.3n.3","X20.01","X18.4n.3","X20.3n.6","X22.00","X20.4n.6","X20.4n.3","X20.5n.3","X24.01.00","X22.5n.6","X22.5n.3","X22.6n.3"
"1","Middle Veurne-Ambacht",1.64861904761905,0.468619047619048,21.153,0.820333333333333,3.43480952380952,0.849238095238095,0.433904761904762,8.27966666666667,12.1142380952381,4.82190476190476,0.889047619047619,0.281285714285714,0.357238095238095,0.862333333333333,0.133428571428571,0.20052380952381,0.162142857142857,4.12914285714286,1.39580952380952,9.70619047619048,3.00528571428571,0.519952380952381,4.15195238095238,19.3404285714286
"2","Pumping Station",2.2524,0.490688888888889,22.9872444444444,0.662555555555556,3.71648888888889,0.627844444444444,0.388022222222222,6.98006666666667,15.4664,4.52562222222222,0.874933333333333,0.233066666666667,0.507133333333333,1.13604444444444,0.188688888888889,0.1612,0.115222222222222,3.37977777777778,2.19526666666667,7.43322222222222,2.57775555555556,0.493111111111111,3.40813333333333,18.5835555555556
"3","Sluice Complex",1.6610625,0.44175,21.092,0.754,3.8076875,0.81875,0.4336875,8.421375,11.7279375,4.8180625,0.9725625,0.2833125,0.37675,0.7185,0.157375,0.23225,0.1705625,4.075375,1.4660625,10.1236875,3.018125,0.5423125,3.847,19.209875
