"","LocationVA","X14.00","X15.00","X16.00","X16.1.iso.17.0","cis.9.16.1","X17.00","X17.1.16.2","X18.00","cis.9.18.1","cis.11.18.1","X18.2n.6","X20.00","X18.3n.3","X20.01","X18.4n.3","X20.3n.6","X22.00","X20.4n.6","X20.4n.3","X20.5n.3","X24.01.00","X22.5n.6","X22.5n.3","X22.6n.3"
"1","Middle Veurne-Ambacht",0.78852380952381,0.219904761904762,9.74933333333333,0.388761904761905,1.62371428571429,0.391142857142857,0.207285714285714,3.75014285714286,5.6,2.2797619047619,0.412238095238095,0.125904761904762,0.168714285714286,0.39752380952381,0.063,0.0915714285714286,0.075,1.88528571428571,0.647190476190476,4.45957142857143,1.36714285714286,0.239571428571429,1.92985714285714,8.80052380952381
"2","Pumping Station",1.60293333333333,0.336822222222222,15.4220666666667,0.459844444444444,2.57044444444444,0.420555555555556,0.266622222222222,4.5514,10.4549555555556,3.16168888888889,0.5946,0.148711111111111,0.352111111111111,0.784111111111111,0.134577777777778,0.108288888888889,0.072,2.15093333333333,1.53473333333333,4.98733333333333,1.64537777777778,0.319577777777778,2.33502222222222,12.2566
"3","Sluice Complex",0.8644375,0.232125,10.5236875,0.3789375,1.854625,0.418375,0.2186875,4.1438125,6.06975,2.43675,0.4843125,0.136125,0.18625,0.4145,0.0858125,0.109875,0.0793125,1.9833125,0.779,4.90375,1.4851875,0.2724375,1.92425,9.5150625
